Fixed cost,Gross revenue,Location number,Month,Number of products,Owned,Profit,Rental cost,State,Variable cost
5169013.88,27682803.55,7,2,4495,False,6653238.910000002,67410.0,IL,15793140.76
5766870.65,34513429.45,7,3,4495,False,8893847.930000003,67410.0,IL,19785300.87
5630799.24,24944394.46,7,4,4495,False,5790369.969999999,67410.0,IL,13455815.25
5700748.95,28932913.89,7,5,4495,False,7536894.260000002,67410.0,IL,15627860.68
7520678.36,31157233.78,7,6,4495,False,6381963.200000003,67410.0,IL,17187182.22
6141305.6,21438145.13,7,7,4495,False,3685457.09,67410.0,IL,11543972.44
5833776.79,24917142.73,7,8,4495,False,5830891.98,67410.0,IL,13185063.96
6781010.17,29893243.53,7,9,4495,False,7375234.32,67410.0,IL,15669589.04
5630311.26,24178562.74,7,10,4495,False,5729932.669999996,67410.0,IL,12750908.81
5767990.8,24010289.62,7,11,4495,False,4583109.15,67410.0,IL,13591779.67
6903800.88,28998762.1,7,12,4495,False,5028313.570000004,67410.0,IL,16999237.65
6843187.27,22784037.69,8,1,4506,False,2900031.040000001,174550.0,GA,12866269.38
4240952.77,22030072.12,8,2,4506,False,4864696.610000001,174550.0,GA,12749872.74
6982335.42,31471755.36,8,3,4506,False,7651418.739999998,174550.0,GA,16663451.2
5418066.59,23726776.77,8,4,4506,False,5592183.77,174550.0,GA,12541976.41
5174935.66,20726295.71,8,5,4506,False,4602362.25,174550.0,GA,10774447.8
6608677.55,26681240.17,8,6,4506,False,5617516.180000002,174550.0,GA,14280496.44
5755929.97,20266245.16,8,7,4506,False,3080047.330000002,174550.0,GA,11255717.86
6062346.72,28998570.73,8,8,4506,False,6555779.840000002,174550.0,GA,16205894.17
6440164.32,25510630.74,8,9,4506,False,5301476.239999998,174550.0,GA,13594440.18
5102471.97,24474952.54,8,10,4506,False,4998502.41,174550.0,GA,14199428.16
5410769.96,21731930.16,8,11,4506,False,4649422.549999999,174550.0,GA,11497187.65
7281616.3,31250818.1,8,12,4506,False,5873595.75,174550.0,GA,17921056.05
4284816.29,21026806.21,10,1,4544,False,5971750.180000002,108720.0,TX,10661519.74
5323011.08,21702990.43,10,2,4544,False,5932474.8100000005,108720.0,TX,10338784.54
5233263.23,24973954.96,10,3,4544,False,7536011.630000001,108720.0,TX,12095960.1
4377084.69,24665182.77,10,4,4544,False,7056748.1499999985,108720.0,TX,13122629.93
4778562.25,27087508.3,10,5,4544,False,8557783.07,108720.0,TX,13642442.98
6318526.87,38171759.17,10,6,4544,False,12155604.59,108720.0,TX,19588907.71
5206792.22,21930445.45,10,7,4544,False,5503940.870000001,108720.0,TX,11110992.36
5289088.33,25154034.36,10,8,4544,False,7354064.280000001,108720.0,TX,12402161.75
6186293.01,28892130.89,10,9,4544,False,8796518.190000003,108720.0,TX,13800599.69
4567089.94,22449625.22,10,10,4544,False,6147928.689999998,108720.0,TX,11625886.59
4673433.21,22399564.95,10,11,4544,False,6150878.189999998,108720.0,TX,11466533.55
6488483.28,29620655.15,10,12,4544,False,7754641.259999998,108720.0,TX,15268810.61
4125152.29,15333373.56,12,1,4257,False,2693430.5999999996,131130.0,TX,8383660.67
4438124.17,16423389.35,12,2,4257,False,2918088.5600000005,131130.0,TX,8936046.62
4025244.89,16046780.99,12,3,4257,False,2557913.5999999996,131130.0,TX,9332492.5
4152678.64,21399407.74,12,4,4257,False,4996676.869999997,131130.0,TX,12118922.23
3228200.41,18587154.1,12,5,4257,False,4490026.6000000015,131130.0,TX,10737797.09
5131486.88,19686260.54,12,6,4257,False,1545949.0199999996,131130.0,TX,12877694.64
3818022.87,15985969.93,12,7,4257,False,2120579.009999998,131130.0,TX,9916238.05
3667066.15,12984661.99,12,8,4257,False,1547611.5,131130.0,TX,7638854.34
5593654.55,17828484.75,12,9,4257,False,1216642.2699999996,131130.0,TX,10887057.93
3264895.52,16333473.94,12,10,4257,False,2997037.83,131130.0,TX,9940410.59
4309501.08,31191593.65,12,11,4257,False,7727180.719999999,131130.0,TX,19023781.85
3723406.62,19634252.57,12,12,4257,False,3645696.6099999994,131130.0,TX,12134019.34
2608541.89,6208699.812000001,13,1,4289,False,-173991.2979999995,72060.0,GA,3702089.22
2801998.32,8424593.394,13,2,4289,False,656073.9039999992,72060.0,GA,4894461.17
3219762.05,9326274.377,13,3,4289,False,201742.11700000055,72060.0,GA,5832710.21
2587528.64,7297967.438999999,13,4,4289,False,610199.6089999988,72060.0,GA,4028179.19
3034701.41,9428558.135,13,5,4289,False,1038689.5149999997,72060.0,GA,5283107.21
3833710.03,10209110.25,13,6,4289,False,536292.8600000003,72060.0,GA,5767047.36
3357923.29,9000600.666000001,13,7,4289,False,1086912.1660000011,72060.0,GA,4483705.21
3534780.22,9585797.735,13,8,4289,False,663790.6349999988,72060.0,GA,5315166.88
3467426.2,10798613.39,13,9,4289,False,1758427.2800000003,72060.0,GA,5500699.91
2566820.52,8107707.296,13,10,4289,False,738655.0860000001,72060.0,GA,4730171.69
1273073.15,8260230.691000001,13,11,4289,False,2036292.4310000008,72060.0,GA,4878805.11
3101491.36,12455399.89,13,12,4289,False,2155699.4400000013,72060.0,GA,7126149.09
4960694.27,17456831.41,14,1,4414,False,3258263.8000000007,162110.0,GA,9075763.34
3773272.56,13202113.89,14,2,4414,False,1979259.63,162110.0,GA,7287471.7
5018139.66,14953493.24,14,3,4414,False,1856675.75,162110.0,GA,7916567.83
4454510.48,13666262.62,14,4,4414,False,2266663.1599999983,162110.0,GA,6782978.98
3566440.21,18447762.94,14,5,4414,False,4352336.3100000005,162110.0,GA,10366876.42
4786921.32,17831189.53,14,6,4414,False,2746401.9000000004,162110.0,GA,10135756.31
4171403.59,13234132.81,14,7,4414,False,2128771.290000001,162110.0,GA,6771847.93
3515269.07,14288703.93,14,8,4414,False,2479665.2699999996,162110.0,GA,8131659.59
5056922.03,22039957.94,14,9,4414,False,5146704.699999999,162110.0,GA,11674221.21
4699115.9,21119385.61,14,10,4414,False,4817033.469999999,162110.0,GA,11441126.24
4553807.85,16860212.29,14,11,4414,False,2938118.0700000003,162110.0,GA,9206176.37
5412518.35,24657147.16,14,12,4414,False,5346502.190000003,162110.0,GA,13736016.62
2725454.61,11198457.57,15,1,4414,False,3629552.330000001,85090.0,CA,4758360.63
2935216.99,12766751.12,15,2,4414,False,3025933.959999999,85090.0,CA,6720510.17
3009719.24,12925731.81,15,3,4414,False,4318705.08,85090.0,CA,5512217.49
2626967.58,9530166.297,15,4,4414,False,2657741.4570000004,85090.0,CA,4160367.26
2364062.66,10256128.12,15,5,4414,False,2775500.129999999,85090.0,CA,5031475.33
3170574.86,10107220.41,15,6,4414,False,1949992.250000001,85090.0,CA,4901563.3
2373901.02,9692279.79,15,7,4414,False,2143725.0999999996,85090.0,CA,5089563.67
2215715.26,10658593.6,15,8,4414,False,3099241.62,85090.0,CA,5258546.72
3435899.06,12430198.13,15,9,4414,False,2626806.83,85090.0,CA,6282402.24
2224225.42,9494507.09,15,10,4414,False,1674272.1399999997,85090.0,CA,5510919.53
2634789.66,9626079.072,15,11,4414,False,957196.7020000005,85090.0,CA,5949002.71
3160294.92,11938340.04,15,12,4414,False,2000615.249999999,85090.0,CA,6692339.87
10043345.29,49647378.33,16,1,4619,False,12311610.669999998,279370.0,NJ,27013052.37
7822051.39,51275864.39,16,2,4619,False,14290878.989999998,279370.0,NJ,28883564.01
10187663.93,63680744.1,16,3,4619,False,17135995.17,279370.0,NJ,36077715.0
9679463.28,51574310.33,16,4,4619,False,12847074.759999998,279370.0,NJ,28768402.29
7662350.68,45222346.82,16,5,4619,False,12278049.95,279370.0,NJ,25002576.19
10724824.77,54133531.95,16,6,4619,False,13172131.750000007,279370.0,NJ,29957205.43
8209536.45,36639825.63,16,7,4619,False,7426188.840000004,279370.0,NJ,20724730.34
8462826.82,45747166.54,16,8,4619,False,12365245.259999998,279370.0,NJ,24639724.46
10359163.3,59752607.25,16,9,4619,False,15591611.820000004,279370.0,NJ,33522462.13
9133416.83,49050795.76,16,10,4619,False,11952453.989999998,279370.0,NJ,27685554.94
8133917.28,46064534.22,16,11,4619,False,11164220.319999997,279370.0,NJ,26487026.62
10408606.87,53269159.76,16,12,4619,False,11918977.77,279370.0,NJ,30662205.12
7305868.78,38857366.65,17,1,4553,False,12203536.349999998,248310.0,CA,19099651.52
5912907.09,39885102.92,17,2,4553,False,13544205.579999998,248310.0,CA,20179680.25
7181750.12,39487638.68,17,3,4553,False,11423645.259999998,248310.0,CA,20633933.3
6029813.32,33772081.88,17,4,4553,False,10412041.440000001,248310.0,CA,17081917.12
5618850.1,36592113.52,17,5,4553,False,10840854.14,248310.0,CA,19884099.28
6951327.18,32694061.01,17,6,4553,False,9287719.110000001,248310.0,CA,16206704.72
5790018.98,26116751.11,17,7,4553,False,6926854.01,248310.0,CA,13151568.12
5307369.3,28398907.1,17,8,4553,False,7725134.690000001,248310.0,CA,15118093.11
7327907.65,40679843.55,17,9,4553,False,12353681.239999998,248310.0,CA,20749944.66
5919403.56,35835888.12,17,10,4553,False,10813417.66,248310.0,CA,18854756.9
6297299.71,34651985.16,17,11,4553,False,9772204.759999994,248310.0,CA,18334170.69
6805484.11,37500940.16,17,12,4553,False,10356422.329999998,248310.0,CA,20090723.72
2996040.64,15942639.77,18,1,4578,False,4339465.479999999,39260.0,CA,8567873.65
2951461.77,18929157.62,18,2,4578,False,5989191.550000001,39260.0,CA,9949244.3
4173968.65,20674324.03,18,3,4578,False,5997744.73,39260.0,CA,10463350.65
3285453.59,13269049.01,18,4,4578,False,3554851.62,39260.0,CA,6389483.8
3538335.23,14908896.98,18,5,4578,False,3651559.67,39260.0,CA,7679742.08
3849911.19,19358429.59,18,6,4578,False,5340069.01,39260.0,CA,10129189.39
3573512.6,16601994.58,18,7,4578,False,4014126.67,39260.0,CA,8975095.31
3768931.16,13182366.56,18,8,4578,False,2934915.54,39260.0,CA,6439259.86
4020739.24,19386449.8,18,9,4578,False,5109942.040000001,39260.0,CA,10216508.52
3676989.43,15903212.74,18,10,4578,False,3438708.83,39260.0,CA,8748254.48
3095657.58,11442859.78,18,11,4578,False,2002424.8999999994,39260.0,CA,6305517.3
4757788.57,22775886.7,18,12,4578,False,5534005.26,39260.0,CA,12444832.87
5536430.45,30273856.11,19,1,4459,False,8026454.220000001,328370.0,IL,16382601.44
5393625.59,25868685.93,19,2,4459,False,6421433.25,328370.0,IL,13725257.09
7058566.57,39082196.22,19,3,4459,False,10626624.329999998,328370.0,IL,21068635.32
5790118.37,31879202.81,19,4,4459,False,8835708.829999998,328370.0,IL,16925005.61
5136798.87,29693241.92,19,5,4459,False,8138232.540000001,328370.0,IL,16089840.51
7992759.2,34935437.37,19,6,4459,False,7846037.659999996,328370.0,IL,18768270.51
5182054.62,28570428.79,19,7,4459,False,8720612.869999997,328370.0,IL,14339391.3
6124851.61,27850886.94,19,8,4459,False,6996806.860000001,328370.0,IL,14400858.47
6965747.22,30263061.78,19,9,4459,False,7290592.2200000025,328370.0,IL,15678352.34
5558172.84,31929918.9,19,10,4459,False,9092656.059999999,328370.0,IL,16950720.0
5550369.33,26602660.61,19,11,4459,False,6349644.390000001,328370.0,IL,14374276.89
6280177.7,34376273.77,19,12,4459,False,9345971.850000005,328370.0,IL,18421754.22
3165598.24,16909345.52,20,1,4572,False,5080686.67,103830.0,CA,8559230.61
3448760.5,14880856.42,20,2,4572,False,3938639.9699999997,103830.0,CA,7389625.95
4185814.05,24533909.31,20,3,4572,False,7805672.919999998,103830.0,CA,12438592.34
3422078.46,18379670.87,20,4,4572,False,5724929.23,103830.0,CA,9128833.18
3008834.67,18943363.74,20,5,4572,False,5920790.569999998,103830.0,CA,9909908.5
4383010.66,18798421.26,20,6,4572,False,4589023.590000002,103830.0,CA,9722557.01
3848525.94,13951448.76,20,7,4572,False,3293986.41,103830.0,CA,6705106.41
3096102.55,20841820.32,20,8,4572,False,8615757.469999999,103830.0,CA,9026130.3
4475719.11,24149534.41,20,9,4572,False,7769895.510000002,103830.0,CA,11800089.79
3682452.11,14661280.59,20,10,4572,False,3373043.75,103830.0,CA,7501954.73
4166653.83,16448637.37,20,11,4572,False,4230782.299999999,103830.0,CA,7947371.24
5234384.78,17923476.4,20,12,4572,False,3705776.0699999966,103830.0,CA,8879485.55
6555967.14,29194957.45,22,1,4511,False,7459247.669999998,192180.0,CO,14987562.64
5753307.1,28020264.87,22,2,4511,False,7260893.910000004,192180.0,CO,14813883.86
5974632.92,38185836.64,22,3,4511,False,12710670.59,192180.0,CO,19308353.13
5340568.71,25118044.32,22,4,4511,False,6721144.529999999,192180.0,CO,12864151.08
4962611.02,26328073.83,22,5,4511,False,7691132.079999998,192180.0,CO,13482150.73
6452630.83,30178316.11,22,6,4511,False,8524084.040000001,192180.0,CO,15009421.24
5302157.43,27319586.8,22,7,4511,False,9041154.74,192180.0,CO,12784094.63
6322127.53,28076395.35,22,8,4511,False,6426949.4399999995,192180.0,CO,15135138.38
6850343.83,30399138.5,22,9,4511,False,7908774.270000001,192180.0,CO,15447840.4
5367179.03,25701785.85,22,10,4511,False,6919117.1899999995,192180.0,CO,13223309.63
4252770.56,25644248.73,22,11,4511,False,7862869.9700000025,192180.0,CO,13336428.2
4902747.82,30808648.57,22,12,4511,False,9637213.37,192180.0,CO,16076507.38
4597511.05,23688345.46,23,1,4581,False,7905898.91,107520.0,TX,11077415.5
4947022.55,26325549.46,23,2,4581,False,9095650.44,107520.0,TX,12175356.47
5673860.28,29400500.77,23,3,4581,False,8370002.039999999,107520.0,TX,15249118.45
4568456.46,23747903.27,23,4,4581,False,7748537.669999998,107520.0,TX,11323389.14
4020406.49,22002169.34,23,5,4581,False,6066219.520000001,107520.0,TX,11808023.33
5396709.64,28112505.6,23,6,4581,False,8805808.75,107520.0,TX,13802467.21
4378891.01,20204682.63,23,7,4581,False,5632342.5,107520.0,TX,10085929.12
4473523.03,25903298.31,23,8,4581,False,8732731.209999997,107520.0,TX,12589524.07
5424327.53,25227155.93,23,9,4581,False,7022807.619999999,107520.0,TX,12672500.78
4917198.56,20662561.06,23,10,4581,False,5478670.470000001,107520.0,TX,10159172.03
5637515.1,24504323.68,23,11,4581,False,7226818.909999998,107520.0,TX,11532469.67
5865729.72,23337669.16,23,12,4581,False,5538318.8500000015,107520.0,TX,11826100.59
4390920.08,17756200.32,24,1,4411,False,3992822.8499999996,83800.0,TX,9288657.39
3464521.3,15353637.22,24,2,4411,False,4069492.960000002,83800.0,TX,7735822.96
3830370.42,13818649.08,24,3,4411,False,2823485.4000000004,83800.0,TX,7080993.26
3341491.28,14417841.64,24,4,4411,False,3711838.950000001,83800.0,TX,7280711.41
3874473.53,15966139.37,24,5,4411,False,3698778.7299999995,83800.0,TX,8309087.11
4847927.02,16116717.71,24,6,4411,False,3702995.3400000017,83800.0,TX,7481995.35
3078809.36,8458020.625,24,7,4411,False,1356057.4650000008,83800.0,TX,3939353.8
3810154.26,13308401.48,24,8,4411,False,2641643.6400000006,83800.0,TX,6772803.58
4531997.45,17765835.32,24,9,4411,False,4602463.24,83800.0,TX,8547574.63
3847483.03,15389541.13,24,10,4411,False,4119861.580000002,83800.0,TX,7338396.52
3107297.93,13155499.05,24,11,4411,False,3897205.910000001,83800.0,TX,6067195.21
4791581.76,16126016.16,24,12,4411,False,3581586.83,83800.0,TX,7669047.57
5425889.27,27247626.04,25,1,4393,False,6099550.639999999,107350.0,TX,15614836.13
5590521.25,20986463.09,25,2,4393,False,3059750.92,107350.0,TX,12228840.92
5481111.85,25641102.03,25,3,4393,False,4396763.48,107350.0,TX,15655876.7
4129263.85,19800353.77,25,4,4393,False,4163685.4299999997,107350.0,TX,11400054.49
4992316.09,23258665.38,25,5,4393,False,4035821.6899999995,107350.0,TX,14123177.6
6580476.66,29251111.64,25,6,4393,False,6177938.950000001,107350.0,TX,16385346.03
5617860.39,25292920.89,25,7,4393,False,5834928.630000001,107350.0,TX,13732781.87
5293321.01,22338029.19,25,8,4393,False,4927840.23,107350.0,TX,12009517.95
6936053.84,26194927.68,25,9,4393,False,4790489.67,107350.0,TX,14361034.17
5525013.79,24067449.31,25,10,4393,False,5703314.539999999,107350.0,TX,12731770.98
5360442.33,21050766.62,25,11,4393,False,4851031.270000001,107350.0,TX,10731943.02
6638778.53,33887580.87,25,12,4393,False,9881632.069999997,107350.0,TX,17259820.27
4678534.52,18547885.84,26,1,4561,False,3542274.59,110580.0,GA,10216496.73
4273850.38,23990295.47,26,2,4561,False,6666927.699999999,110580.0,GA,12938937.39
5638664.17,27296914.24,26,3,4561,False,6919214.83,110580.0,GA,14628455.24
4862521.97,18293466.96,26,4,4561,False,3741519.030000001,110580.0,GA,9578845.96
4364990.14,18601247.2,26,5,4561,False,4189951.419999998,110580.0,GA,9935725.64
5312496.65,21004253.97,26,6,4561,False,4067735.7399999984,110580.0,GA,11513441.58
4619899.14,18530369.47,26,7,4561,False,3845070.799999999,110580.0,GA,9954819.53
4166995.34,20796094.17,26,8,4561,False,6165599.000000002,110580.0,GA,10352919.83
5212947.73,27096579.65,26,9,4561,False,7665139.629999999,110580.0,GA,14107912.29
4304459.24,20701829.18,26,10,4561,False,5059763.42,110580.0,GA,11227026.52
4744033.9,12517483.5,26,11,4561,False,865299.5,110580.0,GA,6797570.1
4680273.68,18027816.71,26,12,4561,False,3648396.530000001,110580.0,GA,9588566.5
4221586.29,13962429.75,27,1,4480,False,2389839.040000001,128690.0,IL,7222314.42
3956575.33,18189826.2,27,2,4480,False,4628127.489999998,128690.0,IL,9476433.38
5186134.58,24324395.67,27,3,4480,False,5465042.340000004,128690.0,IL,13544528.75
4204423.89,18557268.31,27,4,4480,False,4154397.3499999978,128690.0,IL,10069757.07
4312428.06,17131587.0,27,5,4480,False,3639100.250000002,128690.0,IL,9051368.69
5320576.34,23849098.04,27,6,4480,False,6175780.539999999,128690.0,IL,12224051.16
4137869.81,17029867.34,27,7,4480,False,3750112.8099999987,128690.0,IL,9013194.72
3954849.32,19923821.9,27,8,4480,False,5719828.359999998,128690.0,IL,10120454.22
4793933.43,20709173.6,27,9,4480,False,5237787.070000002,128690.0,IL,10548763.1
4537358.85,19288486.79,27,10,4480,False,4302051.32,128690.0,IL,10320386.62
5475193.9,15962323.55,27,11,4480,False,2011753.3100000005,128690.0,IL,8346686.34
5472284.46,24557568.5,27,12,4480,False,5913293.84,128690.0,IL,13043300.2
5830888.75,33163400.14,28,1,4523,False,7131025.900000002,47390.0,GA,20154095.49
6503755.2,31237944.0,28,2,4523,False,6514176.91,47390.0,GA,18172621.89
6176595.73,27623282.03,28,3,4523,False,4009745.4499999993,47390.0,GA,17389550.85
4604444.04,21228670.28,28,4,4523,False,3463902.7600000016,47390.0,GA,13112933.48
5664034.01,25977763.89,28,5,4523,False,5245107.870000003,47390.0,GA,15021232.01
6662136.05,27254286.42,28,6,4523,False,5115929.82,47390.0,GA,15428830.55
5579931.4,15201937.52,28,7,4523,False,394577.0800000001,47390.0,GA,9180039.04
5291674.29,24139754.51,28,8,4523,False,4358799.610000003,47390.0,GA,14441890.61
7161324.4,22982942.89,28,9,4523,False,2299690.540000001,47390.0,GA,13474537.95
4659877.75,22602009.86,28,10,4523,False,5071563.1,47390.0,GA,12823179.01
5092030.77,20226886.53,28,11,4523,False,3550899.130000001,47390.0,GA,11536566.63
7053305.72,30211918.32,28,12,4523,False,3942733.1799999997,47390.0,GA,19168489.42
5345846.72,24646732.57,29,1,4454,False,5022061.360000001,146200.0,NJ,14132624.49
4898245.8,24460892.78,29,2,4454,False,6099465.880000001,146200.0,NJ,13316981.1
6080312.74,31375407.67,29,3,4454,False,6444862.77,146200.0,NJ,18704032.16
4587511.84,20783452.35,29,4,4454,False,3517104.3900000025,146200.0,NJ,12532636.12
4376584.53,21228128.09,29,5,4454,False,3796191.039999999,146200.0,NJ,12909152.52
5601391.79,22472638.84,29,6,4454,False,2441115.42,146200.0,NJ,14283931.63
4622387.91,21402127.41,29,7,4454,False,3930119.0999999996,146200.0,NJ,12703420.4
4648452.77,22220509.91,29,8,4454,False,4583326.99,146200.0,NJ,12842530.15
5281765.65,22843310.53,29,9,4454,False,3791350.9800000023,146200.0,NJ,13623993.9
4079524.7,17505016.9,29,10,4454,False,2031599.9499999993,146200.0,NJ,11247692.25
3681418.12,13737898.71,29,11,4454,False,787646.2799999993,146200.0,NJ,9122634.31
5343320.11,17463752.31,29,12,4454,False,42621.449999999255,146200.0,NJ,11931610.75
6737860.2,28842469.34,30,1,4569,False,6585453.58,164580.0,TX,15354575.56
6935006.79,33730669.62,30,2,4569,False,9060070.069999997,164580.0,TX,17571012.76
7357068.33,45558422.85,30,3,4569,False,13278796.530000005,164580.0,TX,24757977.99
6118702.48,36306241.73,30,4,4569,False,10751643.969999995,164580.0,TX,19271315.28
6293186.88,35235779.1,30,5,4569,False,9709282.430000003,164580.0,TX,19068729.79
8083416.95,46254849.3,30,6,4569,False,14326433.599999994,164580.0,TX,23680418.75
7097127.63,40606926.53,30,7,4569,False,12331257.73,164580.0,TX,21013961.17
7140987.9,37637575.49,30,8,4569,False,11127089.580000002,164580.0,TX,19204918.01
7324831.23,48027858.14,30,9,4569,False,15885916.789999995,164580.0,TX,24652530.12
6793621.28,40282517.31,30,10,4569,False,12163641.25,164580.0,TX,21160674.78
6354012.16,43048789.67,30,11,4569,False,13783849.980000004,164580.0,TX,22746347.53
7506485.66,40752892.4,30,12,4569,False,12415815.29,164580.0,TX,20666011.45
6711675.08,24220233.09,32,1,4275,False,3847965.5399999972,190340.0,TX,13470252.47
7259758.29,27738611.54,32,2,4275,False,3824206.960000001,190340.0,TX,16464306.29
7230825.6,35542595.18,32,3,4275,False,7143323.059999999,190340.0,TX,20978106.52
5836321.88,21748817.97,32,4,4275,False,2985405.7699999996,190340.0,TX,12736750.32
6246604.79,26101214.11,32,5,4275,False,4157959.59,190340.0,TX,15506309.73
8218862.61,33139808.9,32,6,4275,False,5188677.669999998,190340.0,TX,19541928.62
5640226.03,20238280.58,32,7,4275,False,3672870.9399999976,190340.0,TX,10734843.61
6265764.91,23079974.7,32,8,4275,False,2858575.379999999,190340.0,TX,13765294.41
7305651.54,36220570.72,32,9,4275,False,7275819.739999998,190340.0,TX,21448759.44
5632611.61,29450405.3,32,10,4275,False,6662052.82,190340.0,TX,16965400.87
6949760.06,28231103.63,32,11,4275,False,3978379.780000001,190340.0,TX,17112623.79
7350075.44,36230550.2,32,12,4275,False,6691450.560000002,190340.0,TX,21998684.2
